episode,reward,length
0,-7882.793924688148,100
1,-8028.382787269032,100
2,-8402.217921590865,100
3,-7852.399785425906,100
4,-8268.578356539163,100
5,-8307.512460993108,100
6,-7936.0044806592505,100
7,-7420.437331736825,100
8,-7923.450641860498,100
9,-8393.927347119186,100
10,-8321.945108758551,100
11,-8339.921321512682,100
12,-7936.289653107852,100
13,-8072.588418130652,100
14,-8251.222967218191,100
15,-7766.8194740600575,100
16,-8297.60838457147,100
17,-7498.732050851177,100
18,-7746.5545878216735,100
19,-7591.014276612021,100
20,-8325.686153748513,100
21,-7888.358066281799,100
22,-7974.806295030874,100
23,-7941.996775597035,100
24,-7998.946588977167,100
25,-7865.332749873962,100
26,-7691.080326892842,100
27,-8258.570906798197,100
28,-7516.857912816937,100
29,-7643.457642770822,100
30,-7969.842194750216,100
31,-8005.392420329431,100
32,-8226.384611341722,100
33,-8227.318530826306,100
34,-7858.641021320979,100
35,-8431.169379149384,100
36,-8323.34740308097,100
37,-7898.8680047184325,100
38,-7868.736851829654,100
39,-7903.726296024291,100
40,-7886.483893340249,100
41,-7691.1203528981305,100
42,-7580.4194323957845,100
43,-7601.694601847775,100
44,-7458.4370375243625,100
45,-7312.834929332427,100
46,-7406.529235849144,100
47,-8035.138788397871,100
48,-7924.581853638072,100
49,-7799.492727633889,100
50,-7867.775738760401,100
51,-7648.6932414523535,100
52,-8311.672480275161,100
53,-7947.252380168608,100
54,-8098.40390937149,100
55,-7455.354396513292,100
56,-8145.6050080066,100
57,-8051.005165068373,100
58,-7567.070177179736,100
59,-7802.594684010276,100
60,-8130.341494596918,100
61,-8415.307196656146,100
62,-7093.3926684606395,100
63,-7036.9502199307835,100
64,-7671.211038978043,100
65,-7223.789761508855,100
66,-7479.021525705181,100
67,-7994.600114931435,100
68,-7771.049801089366,100
69,-7806.3641792298995,100
70,-6760.462012452761,100
71,-6936.423971262933,100
72,-7493.862831518004,100
73,-6267.442822671377,100
74,-7352.287197204772,100
75,-7597.712264987747,100
76,-6995.536562717066,100
77,-7379.079243389054,100
78,-6767.500975668179,100
79,-6969.973420439963,100
80,-7395.759605420633,100
81,-7709.522061975299,100
82,-6369.646708777611,100
83,-7642.62034384489,100
84,-8005.529771003621,100
85,-5980.469015485739,100
86,-7291.986843418724,100
87,-7067.237651898991,100
88,-6334.760183358001,100
89,-7320.277665788672,100
90,-7165.049236135879,100
91,-7114.507839604004,100
92,-6810.5860120482575,100
93,-6038.352086831603,100
94,-6023.978749567607,100
95,-6302.5527359876605,100
96,-7591.343225562905,100
97,-7473.024179674699,100
98,-7098.062208001418,100
99,-6540.997910469613,100
100,-5699.455230994373,100
101,-5658.965273519927,100
102,-6858.8665445117,100
103,-6269.327076513242,100
104,-6705.59119670137,100
105,-5621.9864638726185,100
106,-6552.255147177995,100
107,-7051.382904458819,100
108,-7031.391236158914,100
109,-6477.050754797959,100
110,-6249.951478995783,100
111,-5978.2844260208685,100
112,-5313.630074814021,100
113,-6227.486630747938,100
114,-7133.099741003728,100
115,-6262.03203592228,100
116,-5637.0123927487575,100
117,-6835.136141384369,100
118,-6254.197669489382,100
119,-6834.908492085882,100
120,-6703.248553378674,100
121,-5820.11136837424,100
122,-6834.803977001675,100
123,-5790.838432603437,100
124,-5530.613170047575,100
125,-6391.14987703155,100
126,-6413.5092538763665,100
127,-6877.693288104493,100
128,-6208.438639881587,100
129,-6490.0470875868305,100
130,-5883.839385307792,100
131,-6046.868319931326,100
132,-6099.594490436028,100
133,-5756.856635384653,100
134,-6214.437039560774,100
135,-5765.833050583383,100
136,-5661.18142747337,100
137,-6114.988775612802,100
138,-6814.291024123086,100
139,-5664.760467444327,100
140,-5600.3254485664675,100
141,-6120.666703229746,100
142,-7103.784861676184,100
143,-6446.623030348592,100
144,-5681.321394902438,100
145,-5815.085012349773,100
146,-5830.891233779356,100
147,-5963.115556331172,100
148,-5821.5051540457225,100
149,-6248.584598005308,100
150,-5932.859445355246,100
151,-6402.625214847132,100
152,-6120.855307089387,100
153,-6296.688172712287,100
154,-6249.353158001943,100
155,-6120.576772545571,100
156,-6304.974328801963,100
157,-6753.602096890075,100
158,-5692.619899023484,100
159,-6358.706515494245,100
160,-5920.893160745953,100
161,-6094.942197601494,100
162,-5800.201889063588,100
163,-6236.119722548356,100
164,-6496.285299310969,100
165,-6146.855224109878,100
166,-6623.93779531461,100
167,-6983.548019221325,100
168,-5781.492799172421,100
169,-5579.105559596464,100
170,-6552.486202558336,100
171,-6879.221501131061,100
172,-6220.824884259263,100
173,-6353.946602220872,100
174,-6142.461619001273,100
175,-5947.245009754924,100
176,-6248.794398465033,100
177,-6495.352019085847,100
178,-6029.803401752707,100
179,-6215.170200632207,100
180,-5467.111422473804,100
181,-6401.831386677329,100
182,-6302.799770653323,100
183,-5560.4341471846665,100
184,-6342.196480662508,100
185,-6055.026165399139,100
186,-6916.197367068901,100
187,-5985.408745012008,100
188,-5866.633869715727,100
189,-6792.124425605477,100
190,-6252.307750552869,100
191,-5583.178913889482,100
192,-5899.898344931923,100
193,-5899.338225961032,100
194,-5384.955947773022,100
195,-6472.018295122117,100
196,-6373.344350037525,100
197,-6000.378226017102,100
198,-6014.049841799756,100
199,-6473.507400158465,100
200,-5864.212714991033,100
201,-6119.3129151665735,100
202,-7873.371166743378,100
203,-8122.366169778038,100
204,-6064.818492996676,100
205,-6116.681912937812,100
206,-5459.75007565011,100
207,-5783.090574640429,100
208,-5742.46464293063,100
209,-5429.740485659262,100
210,-6579.867138470405,100
211,-7177.812876432803,100
212,-6753.682491117331,100
213,-5680.312516444816,100
214,-7510.558533093633,100
215,-8090.080920451058,100
216,-8100.063196597914,100
217,-5955.863861163084,100
218,-5813.634980296732,100
